collocate,window_freq,pmi,t_score,global_freq
franz,259,8.00486286923569,16.030874983198228,301
de,102,4.202632083352935,9.54670593491151,1668
videogam,75,8.093787877628975,8.628561682865444,82
game,66,3.1804260455452042,7.215985998718116,2204
thi,47,3.194837498946119,6.092554799787128,1563
like,42,4.195953438402084,6.119726883321876,699
story,37,4.244825634777795,5.7542554304854905,597
la,36,4.175324591342536,5.65970946025029,610
esqu,32,7.943365820003406,5.633778229375178,39
work,27,5.170273722462347,5.047352951159162,231
wa,23,3.41999989561201,4.3296191071154295,668
some,21,3.674706864975734,4.207879736465413,513
que,21,3.3338176810039766,4.107814733905593,650
hi,20,4.749031073656795,4.298498153632238,232
un,20,3.638802628505548,4.096419677903004,502
have,20,3.443292216868763,4.041783645576211,575
le,20,3.115365381359957,3.9317631421236285,722
obra,19,7.150510467640917,4.327415781309774,41
di,19,5.382956553641288,4.249859698740972,142
lovecraft,18,7.146899214088538,4.21187266029635,39
zu,18,4.610846313848328,4.060399297475743,231
s,18,4.397364946419276,4.031209118182189,268
en,18,3.8394706888962906,3.931015800066475,395
da,18,3.457600053552646,3.836344948303596,515
referenc,16,6.308362636782654,3.9472828590059876,63
fan,16,5.816509540452979,3.92552657859576,89
ha,16,3.87373440914593,3.711310894556598,345
e,16,3.6753674396396967,3.668635113751921,396
read,15,5.761468176895018,3.7977959726867194,87
metamorphosi,15,5.154810605074543,3.758041729216006,133
know,15,4.7370840182680585,3.7191517084294388,178
novel,14,6.08339627178238,3.683511281555618,65
any,14,4.520460077391223,3.568113626583869,194
really,14,3.8751249586905847,3.469712525445168,304
what,14,3.3108067678854525,3.339107427570165,450
al,13,5.157889998006515,3.49786568242773,116
something,13,4.6619325033441035,3.453306126688588,164
who,13,4.355829375618423,3.4171014876505352,203
o,13,3.6445504251158667,3.296419357523693,333
all,13,2.843379374681635,3.066194986204793,581
qui,12,4.563787509055324,3.3066060705777707,163
spiel,12,3.9847015746708365,3.2283414134651403,244
se,12,3.7167683694242033,3.180029896728949,294
puzzl,12,3.029555810455097,3.0061084364786597,474
ther,12,2.5704003321269764,2.834119436897818,652
love,11,4.886999058978876,3.19552142987235,120
short,11,4.306016409170266,3.1349697496308253,180
well,11,3.789054008566917,3.0562525653168433,258
which,11,3.3505350759489105,2.9634066556131717,350
me,11,2.878084334171129,2.8261561803990483,486
lynch,10,7.036475224394888,3.136874804964827,24
book,10,5.551048397224646,3.089244451458166,69
video,10,5.254066659467514,3.0723092146557978,85
dem,10,5.14117260306158,3.0649000485547613,92
el,10,4.737816908830372,3.033146479550321,122
10,10,4.125742562491975,2.9643470800407,187
littl,10,4.036475224394888,2.951645652438924,199
meet,9,6.684846895292106,2.968760212744289,28
hat,9,5.133436954281976,2.9062806382328663,84
writing,9,5.019265934362664,2.898470691418939,91
una,9,4.588631580032802,2.8627680774124116,123
si,9,4.565547966919761,2.8605366640370034,125
um,9,3.774643565642751,2.7578916487682386,217
world,9,3.5541432036475116,2.717726208010896,253
character,9,3.0192659343626644,2.590535645612643,367
quot,8,7.390824796974627,2.81067634004065,15
episod,8,6.068896702087265,2.7822750845117863,39
surreal,8,5.050974794090003,2.7337562729833107,80
visual,8,4.883030156775931,2.721922416512951,90
em,8,4.520460077391223,2.6911543896900154,116
sens,8,4.460087459411741,2.6852374614548356,121
lo,8,4.4021401102024615,2.6793205332196552,126
life,8,4.230953460196238,2.66038636286708,142
y,8,3.92321924689163,2.6201512508678557,176
в,8,3.883030156775931,2.614234322632676,181
art,8,3.883030156775931,2.614234322632676,181
com,8,3.357401795437177,2.519563470869797,261
thing,8,3.3086757556207558,2.508913000046473,270
my,8,2.7326133142228324,2.3515227089906867,403
metamorfosi,7,8.050974794090003,2.635630571298569,8
camu,7,7.898971700644952,2.634365478827816,9
drawing,7,6.761468176895018,2.6191843691787837,21
insect,7,5.666310943854677,2.587557057409966,46
3,7,4.26670348514544,2.490144937162008,123
é,7,4.165617360031125,2.4787591049252335,132
playing,7,4.144084198481484,2.476228919983728,134
sich,7,4.071152676027633,2.467373272688459,141
je,7,3.9080168402479596,2.445866700685663,158
point,7,3.2901624579694286,2.3383338406716834,243
when,7,3.1985319825038605,2.31809236113964,259
bir,7,3.1071576294831265,2.296585789136844,276
one,7,2.3911770604462563,2.0713993293428627,454
poe,6,7.568823098952621,2.435825182345751,10
wrot,6,7.220899795532315,2.4317258142145226,13
david,6,7.028254717589919,2.428992902127037,15
tun,6,6.4432922168687625,2.4180612537770956,23
tower,6,5.9407918763395795,2.404396693339668,33
based,6,5.074058407203044,2.3661359241148716,61
weird,6,4.983860598231465,2.3606700999399006,65
juego,6,4.9621655271321465,2.359303643896158,66
anything,6,4.898971700644952,2.3552042757649296,69
dass,6,4.761468176895018,2.3456390834587304,76
è,6,4.724473969412816,2.342906171371245,78
nice,6,4.688404714705294,2.3401732592837594,80
mayb,6,4.670702712971836,2.3388068032400167,81
por,6,4.4432922168687625,2.3196764186276186,95
non,6,4.370043234838124,2.312844138408905,100
jogo,6,4.039570030817753,2.277316281271594,126
music,6,3.9948317160524685,2.271850457096623,130
i'm,6,3.9407918763395795,2.265018176877909,135
adventur,6,3.9093136448664114,2.260918808746681,138
fun,6,3.5688230989526217,2.2103599351281997,175
had,6,3.458399109258971,2.1912295505158013,189
becaus,6,3.4062028981335426,2.1816643582096025,196
don't,6,3.320895585509036,2.1652668856846895,208
good,6,2.9145125515407306,2.0723478747101836,276
gam,6,2.893828397368993,2.0668820505352126,280
et,6,2.148671467977136,1.8072554022240932,470
larva,5,7.998507374195867,2.2270867119118236,6
conto,5,7.805862296253471,2.2255898343138294,7
metamorfos,5,7.483934201366109,2.2225960791178405,9
dönüşüm,5,7.105422578112379,2.218105446323858,12
h,5,6.718399455003132,2.2121179359318806,16
p,5,6.346430677616174,2.204633547941909,21
absurdity,5,6.282300340196458,2.2031366703439144,22
familiar,5,6.050974794090003,2.197149159951937,26
inspired,5,5.761468176895018,2.1881678943639713,32
trial,5,5.557934782809886,2.1806835063739993,37
writt,5,5.448310291635387,2.1761928735800167,40
protagonist,5,5.251273444575833,2.1672116079920505,46
nightmar,5,5.024502582728812,2.1552365872080963,54
что,5,4.557934782809886,2.1238021576502155,75
start,5,4.282300340196458,2.0998521160823063,91
oyun,5,4.26670348514544,2.098355238484312,92
bien,5,4.105422578112379,2.0818895849063743,103
ma,5,3.9856833338382835,2.0684176865244255,112
own,5,3.851665985866596,2.0519520329464878,123
seem,5,3.840078011591384,2.0504551553484935,124
für,5,3.8285823727535546,2.0489582777504993,125
level,5,3.5484744535608193,2.0085425826046523,152
you'r,5,3.4135448734747107,1.9860894186347375,167
say,5,3.4049828599712866,1.9845925410367435,168
pa,5,3.26670348514544,1.9591456218708396,185
whil,5,3.1123753387541457,1.927711192312959,206
jeu,5,3.0779418416902717,1.9202268043229873,211
make,5,2.9985073741958668,1.9022642731470556,223
il,5,2.822868721559161,1.85885482280522,252
est,5,2.800237747059593,1.8528673124132429,256
ve,5,2.7451663645659172,1.8378985364332994,266
à,5,2.270586919632668,1.68222326624189,370
edgar,4,7.957865389698521,1.9916321998422202,5
murakami,4,7.957865389698521,1.9916321998422202,5
