left,keyword,right
"iel nach den Werken von Franz Kafka, das ganz und gar nicht",kafkaesk,"daher kommt. Das ist nicht negativ gemeint, denn statt dem"
"Unterbewusstseins sind fabelhaft skurril, verzogen, beinahe",kafkaesk,. Und dies passend eingebettet in eine spannende Geschichte
h die labyrinthisch verlassene Atmosphäre aber gleichzeitig,kafkaesk,albtraumhaft schaurig. Sowas liebe ich. Die anderen Setting
ch seine Handlung und seine Inszenierung stellenweise recht,kafkaesk,"und das auf einem Niveau, das nicht viele Spiele erreichen."
"Klopf, Klopf. Wer ist da? Oder: Du hast Gäste. Surreal,",kafkaesk,"und so morbide, dass es fast schon wieder niedlich ist. Kno"
In seiner,Kafkaesk,"surrealen Konfiguration versetzt uns das Spiel ""The Plan"" i"
"mir noch einen 5-minütiges Video vorstellen, wie man durch",kafkaesk,"aussichtlos gleichförmige Schwarz-Weiss-Welten irrt, aber s"
"ns 2 weder besonders fürchterlich, noch in irgendeiner Form",kafkaesk,". Die Story an sich ist solide erzählt, recht unterhaltsam u"
"te irgendetwas mit Kafka oder dem, was der Autor wohl unter",kafkaesk,"verstehen mag, zu tun hat. Auch surreale Elemente werden wi"
"ölliger Verkennung dessen, was sowohl Surrealismus als auch",kafkaesk,meint. Die recht nette comichafte Grafik vermag dann auch n
Story gepappt worden. Überraschen surreal oder gar gruselig,kafkaesk,wirkt Handlung oder Spielwelt zu keinem Zeitpunkt.
"nglaublich bescheuert und absurd, was manche vielleicht mit",kafkaesk,gleichsetzen. Kafkas Protagonisten sind aber (kurz gesagt)
"Ein Spiel, dass dem Adjektiv """,kafkaesk,""" gerecht wird! Versucht gar nicht erst, irgendetwas vorhers"
zination des Spiels aus. Die Atmosphäre ist zudem charmant.,Kafkaesk,"oder nicht, ist mir persönlich egal. Das Spiel sollte aber"
"ckspiel, dass durch Teils unsinnige Rätsel ohne Logikansatz,",Kafkaesk,wirken soll.Wenn man nicht alles von Kafka gelesen hat fäll
Skurill. Eigenartig.,Kafkaesk,. Meiner Meinung nach ist es den Entwicklern gelungen Kafkas
". Kafka hat seine ganz eigene Art Geschichten zu erzählen (""",kafkaesk,""") und wollte vorallem durch Verfremdung von Geschehnissen e"
